,CHRIS CUNNIE,DAVID WONG,PAUL MIYAMOTO,ROSS MIRKARIMI
first_choice,51602.00,11360.00,49814.00,70457.00
CHRIS CUNNIE,,1611.00,17016.00,16354.00
DAVID WONG,2934.00,,6361.00,3501.00
PAUL MIYAMOTO,18393.00,4536.00,,15731.00
ROSS MIRKARIMI,12827.00,2017.00,11870.00,
exhaust,17448.00,3196.00,14567.00,34871.00
