,Bob Reuer,Linea Palmisano,writeIns
first_choice,16.23,83.17,0.60
Bob Reuer,,22.99,11.76
Linea Palmisano,29.25,,23.53
writeIns,4.85,1.59,
exhaust,65.90,75.41,64.71
