,AARON PESKIN,JULIE CHRISTENSEN,WILMA PANG
first_choice,52.52,43.53,3.95
AARON PESKIN,,17.19,23.33
JULIE CHRISTENSEN,20.99,,34.55
WILMA PANG,26.46,30.11,
exhaust,52.55,52.70,42.12
