,ABEL GUILLEN,ANDREW PARK,DANA KING,KEN MAXEY,KEVIN BLACKBURN
first_choice,36.05,19.18,32.90,2.29,9.58
ABEL GUILLEN,,43.52,37.16,27.02,28.82
ANDREW PARK,39.49,,28.62,21.37,26.62
DANA KING,36.62,30.06,,29.44,37.33
KEN MAXEY,3.44,5.52,6.41,,7.23
KEVIN BLACKBURN,20.45,20.90,27.81,22.18,
