,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER,writeIns
first_choice,5.16,35.57,16.80,42.38,0.09
BILL HEMENGER,,2.89,5.71,8.74,0.00
RAFAEL MANDELMAN,11.93,,32.03,19.69,3.33
REBECCA PROZAN,19.15,41.99,,45.91,3.33
SCOTT WIENER,33.52,22.17,42.30,,6.67
writeIns,0.33,0.28,0.05,0.08,
exhaust,35.07,32.68,19.91,25.59,86.67
