,Al Flowers,Bill McGaughey,Bob Carney Jr.,Christopher Clark,Dick Franson,James R. Everett,Joey Lombard,Papa John Kolstad,Phil Willkie,R.T. Rybak,Tom Fiske,writeIns
first_choice,3.98,0.51,0.50,2.96,3.50,0.79,0.98,10.97,0.30,73.60,1.44,0.47
Al Flowers,,7.33,3.51,2.99,24.19,24.65,6.98,7.79,8.03,11.60,15.38,0.95
Bill McGaughey,0.72,,3.95,3.96,1.71,1.12,3.38,3.07,3.65,0.36,2.31,0.95
Bob Carney Jr.,1.00,5.17,,3.81,0.95,2.80,4.05,3.09,7.30,0.62,1.69,0.00
Christopher Clark,2.28,5.60,8.77,,3.74,4.20,10.14,12.15,5.84,1.50,2.92,1.42
Dick Franson,25.91,7.33,6.58,4.19,,6.16,4.95,5.35,3.65,11.13,4.46,4.74
James R. Everett,4.40,3.88,1.75,2.92,0.63,,2.03,1.90,5.84,0.86,1.85,1.90
Joey Lombard,2.56,4.31,4.82,6.88,1.77,2.80,,3.90,6.57,2.13,5.85,4.74
Papa John Kolstad,10.42,24.14,14.91,19.37,9.06,8.40,10.59,,13.14,7.35,12.31,21.33
Phil Willkie,0.39,2.59,0.44,1.05,0.51,2.52,3.15,0.83,,0.17,1.54,0.47
R.T. Rybak,22.67,10.34,14.47,11.44,24.51,21.85,23.87,18.74,10.95,,39.08,17.54
Tom Fiske,4.79,2.59,2.63,1.27,1.90,4.20,6.08,4.04,8.76,2.89,,0.47
writeIns,0.22,0.00,0.88,1.20,0.25,0.00,1.35,0.67,0.73,0.26,0.31,
exhaust,24.62,26.72,37.28,40.91,30.78,21.29,23.42,38.48,25.55,61.13,12.31,45.50
