,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,8.86,3.91,8.44,7.27,8.35,16.20,11.84,2.54,10.18,17.90,4.14,0.37
"Bowman, Manikka L.",,13.69,7.95,12.50,10.90,4.81,12.01,13.08,11.77,7.92,18.13,4.55
"Cisternino, Pia",11.33,,3.20,9.23,12.60,4.21,1.75,7.90,2.34,9.74,8.12,4.55
"Cronin, Fran Albin",9.15,11.85,,5.07,8.16,10.27,6.49,6.27,10.12,14.80,7.25,13.64
"Crutchfield, Jake W.",8.38,12.19,4.10,,7.27,2.60,6.36,10.08,2.55,4.75,9.33,4.55
"Dexter, Emily R.",13.27,13.02,9.67,12.05,,4.16,4.09,9.54,8.74,14.18,7.43,13.64
"Fantini, Alfred B.",5.90,6.01,19.84,6.42,6.62,,24.87,5.72,6.54,8.66,6.22,0.00
"Harding, Jr., Richard",12.02,5.01,6.39,9.46,6.22,35.10,,17.44,12.04,8.11,8.64,18.18
"Kadete, Elechi M.",7.76,2.84,0.98,7.77,4.68,2.25,7.14,,2.00,2.05,5.35,4.55
"Kelly, Kathleen M.",10.94,7.01,14.59,9.68,10.50,14.92,18.57,11.72,,23.72,10.19,9.09
"Nolan, Patricia M.",15.05,21.87,28.03,21.40,27.87,17.18,14.87,10.08,39.99,,19.17,27.27
"Weinstein, David J.",6.13,6.34,5.25,6.42,5.09,4.21,3.77,8.17,3.79,5.99,,0.00
writeIns,0.08,0.17,0.00,0.00,0.08,0.30,0.06,0.00,0.14,0.08,0.17,
