,DESLEY BROOKS,JAMES MOORE,MICHAEL V. JOHNSON,SHEREDA F. NOSAKHARE,VICENTE CRUZ
first_choice,42.75,9.06,17.41,30.05,0.73
DESLEY BROOKS,,21.26,18.63,26.13,34.43
JAMES MOORE,24.88,,29.79,36.99,3.28
MICHAEL V. JOHNSON,28.65,38.40,,36.43,1.64
SHEREDA F. NOSAKHARE,46.29,40.34,51.58,,60.66
VICENTE CRUZ,0.18,0.00,0.00,0.44,
