,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund,writeIns
first_choice,3629.00,183.00,3390.00,6.00,26.00
Abdi Warsame,,37.00,1118.00,0.00,2.00
Fadumo Yusuf,105.00,,167.00,1.00,0.00
Mohamud Noor,763.00,43.00,,4.00,5.00
Tiffini Forslund,0.00,0.00,2.00,,0.00
writeIns,9.00,7.00,24.00,0.00,
exhaust,2752.00,96.00,2079.00,1.00,19.00
