,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca,writeIns
first_choice,42.90,4.18,40.66,12.05,0.21
"Barbara A. ""Barb"" Johnson",,27.78,30.73,21.51,20.00
Dana Hansen,10.60,,6.11,10.19,20.00
Phillipe M. Cunningham,51.46,31.75,,67.92,60.00
Stephanie Gasca,36.79,35.71,62.51,,0.00
writeIns,1.15,4.76,0.64,0.38,
