,GEORGE BEIER,JACQUELYN MCCORMICK,LORI DROSTE,MIKE ALVAREZ COHEN
first_choice,1198.00,837.00,1318.00,1165.00
GEORGE BEIER,,275.00,324.00,458.00
JACQUELYN MCCORMICK,267.00,,362.00,174.00
LORI DROSTE,371.00,296.00,,331.00
MIKE ALVAREZ COHEN,384.00,135.00,401.00,
exhaust,176.00,131.00,231.00,202.00
