,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
first_choice,32.19,22.78,45.02
"Bennett, Adrienne",,43.67,57.75
"Brakey, Eric L.",38.97,,42.25
"Crafts, Dale John",61.03,56.33,
