,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
first_choice,13.58,54.04,32.37
ALLEN SCHOENFELD,,21.62,30.87
LEE THOMAS,33.65,,69.13
VICTOR AGUILAR,66.35,78.38,
