,Mike Wendorf,Scott Vreeland,writeIns
first_choice,1239.00,3430.00,67.00
Mike Wendorf,,731.00,8.00
Scott Vreeland,468.00,,20.00
writeIns,20.00,33.00,
exhaust,751.00,2666.00,39.00
