,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON,writeIns
first_choice,9.95,57.92,31.42,0.71
BEVERLY WILLIAMS,,18.53,35.61,7.48
LARRY E. REID,23.35,,31.56,7.48
SHERYL WALTON,45.43,38.58,,7.48
writeIns,0.87,0.92,0.82,
exhaust,30.35,41.97,32.00,77.57
