,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney,writeIns
first_choice,23.08,15.15,26.49,35.12,0.15
Calvin Goings,,18.40,56.57,12.98,4.80
Mike Lonergan,12.35,,13.25,29.35,10.48
Pat McCarthy,50.95,28.52,,12.19,4.37
Shawn Bunney,12.29,29.95,8.38,,9.61
writeIns,0.14,0.21,0.11,0.70,
exhaust,24.27,22.92,21.69,44.78,70.74
