,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
first_choice,6498.00,7645.00,4948.00,2004.00,14179.00
BEN MATRANGA,,2569.00,1216.00,335.00,2910.00
JOEL ENGARDIO,1809.00,,946.00,331.00,2654.00
JOHN FARRELL,1799.00,1505.00,,608.00,1764.00
MIKE YOUNG,710.00,709.00,1321.00,,1820.00
NORMAN YEE,1163.00,1622.00,719.00,493.00,
exhaust,1017.00,1240.00,746.00,237.00,5031.00
