,CORINA LOPEZ,LEAH HALL,MIA OUSLEY
first_choice,53.84,23.74,22.42
CORINA LOPEZ,,45.08,56.95
LEAH HALL,42.98,,43.05
MIA OUSLEY,57.02,54.92,
