,Andrew Johnson,Harrison Bullard,Will Jaeger,writeIns
first_choice,8875.00,316.00,958.00,35.00
Andrew Johnson,,110.00,312.00,3.00
Harrison Bullard,1353.00,,321.00,5.00
Will Jaeger,1598.00,143.00,,1.00
writeIns,88.00,3.00,8.00,
exhaust,5836.00,60.00,317.00,26.00
