,Betsy Hodges,Joseph Henry,Kris Broberg,writeIns
first_choice,69.24,4.28,26.38,0.10
Betsy Hodges,,48.83,17.36,0.00
Joseph Henry,27.51,,22.88,33.33
Kris Broberg,13.16,24.22,,16.67
writeIns,0.39,0.78,1.71,
exhaust,58.95,26.17,58.05,50.00
