,CAROL LIBBRECHT,"DAVID L. ANDERSON, SR.",MICHAEL J. GREGORY,writeIns
first_choice,0.60,33.64,65.01,0.76
CAROL LIBBRECHT,,0.22,0.07,0.00
"DAVID L. ANDERSON, SR.",45.00,,57.53,17.11
MICHAEL J. GREGORY,25.83,53.03,,15.13
writeIns,0.00,3.29,1.34,
exhaust,29.17,43.46,41.07,67.76
