,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,LOU FILIPOVICH,SARA M. MESTAS,STEPHEN H. CASSIDY,writeIns
first_choice,35.50,1.73,23.15,0.04,4.11,35.17,0.28
ANTHONY B. ''TONY'' SANTOS,,16.15,28.37,0.00,20.32,21.12,7.81
JOHN R. PALAU,4.70,,3.67,44.44,15.24,8.36,3.12
JOYCE RUTLEDGE STAROSCIAK,32.89,13.08,,0.00,22.27,36.10,3.12
LOU FILIPOVICH,0.00,0.00,0.00,,0.11,0.08,0.00
SARA M. MESTAS,9.81,27.69,11.35,0.00,,11.53,1.56
STEPHEN H. CASSIDY,23.78,20.77,31.81,22.22,22.16,,4.69
writeIns,0.58,0.51,0.56,0.00,0.54,0.78,
exhaust,28.25,21.79,24.24,33.33,19.35,22.03,79.69
