,CHRISTINE JOHNSON,MATT HANEY,SONJA TRAUSS
first_choice,24.74,56.41,18.85
CHRISTINE JOHNSON,,31.90,58.72
MATT HANEY,34.61,,25.95
SONJA TRAUSS,47.23,27.70,
exhaust,18.16,40.40,15.33
