,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
first_choice,254.00,967.00,1587.00
AIDAN HILL,,158.00,294.00
CECILIA ''CES'' ROSALES,86.00,,960.00
RIGEL ROBINSON,138.00,647.00,
exhaust,30.00,162.00,333.00
