,CECILIA ''CES'' ROSALES,GEORGE BEIER,KRISS WORTHINGTON,writeIns
first_choice,15.11,34.37,49.67,0.86
CECILIA ''CES'' ROSALES,,42.21,38.50,25.00
GEORGE BEIER,38.29,,33.78,5.56
KRISS WORTHINGTON,49.37,42.35,,22.22
writeIns,1.27,0.56,0.72,
exhaust,11.08,14.88,27.00,47.22
