,CHARLIE MICHELSON,JOSEPH E. SIMMONS,JOSEPH TANIOS,MATT HUMMEL,NAYELI MAXSON,PAM HARRIS,SHENG THAO
first_choice,2783.00,934.00,699.00,1142.00,4086.00,6825.00,8750.00
CHARLIE MICHELSON,,54.00,79.00,133.00,285.00,436.00,456.00
JOSEPH E. SIMMONS,164.00,,45.00,57.00,93.00,561.00,196.00
JOSEPH TANIOS,138.00,53.00,,92.00,154.00,183.00,218.00
MATT HUMMEL,199.00,49.00,66.00,,196.00,372.00,307.00
NAYELI MAXSON,426.00,83.00,113.00,122.00,,1763.00,2802.00
PAM HARRIS,458.00,333.00,95.00,359.00,1350.00,,3237.00
SHENG THAO,693.00,130.00,105.00,160.00,1312.00,1955.00,
exhaust,705.00,232.00,196.00,219.00,696.00,1555.00,1534.00
