,Erica Mauter,Jeremy Schroeder,John Quincy,writeIns
first_choice,29.43,35.26,34.93,0.37
Erica Mauter,,56.66,43.14,12.50
Jeremy Schroeder,66.07,,56.20,25.00
John Quincy,33.62,43.07,,62.50
writeIns,0.30,0.26,0.66,
