,LAURIE CAPITELLI,SOPHIE HAHN,writeIns
first_choice,4333.00,3623.00,28.00
LAURIE CAPITELLI,,1329.00,3.00
SOPHIE HAHN,1607.00,,5.00
writeIns,48.00,37.00,
exhaust,2678.00,2257.00,20.00
