,AHSHA SAFAI,BERTA HERNANDEZ,FRANCISCO HERRERA,KIM ALVARENGA,MAGDALENA DE GUZMAN
first_choice,9466.00,1607.00,2618.00,8670.00,3019.00
AHSHA SAFAI,,231.00,370.00,2179.00,514.00
BERTA HERNANDEZ,817.00,,656.00,1057.00,731.00
FRANCISCO HERRERA,1249.00,440.00,,2430.00,763.00
KIM ALVARENGA,2886.00,291.00,527.00,,480.00
MAGDALENA DE GUZMAN,1515.00,478.00,668.00,1157.00,
exhaust,2999.00,167.00,397.00,1847.00,531.00
