,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
first_choice,32.19,22.78,45.02
"Bennett, Adrienne",,28.18,35.12
"Brakey, Eric L.",27.04,,25.69
"Crafts, Dale John",42.36,36.36,
exhaust,30.60,35.46,39.20
