,CLINTON KILLIAN,DANIEL SWAFFORD,JASON GILLEN,JILL BROADHURST,LIBBY SCHAAF,MELANIE SHELBY,RALPH KANZ,writeIns
first_choice,5.42,11.18,2.52,22.90,41.71,11.73,4.21,0.33
CLINTON KILLIAN,,6.09,11.13,7.53,7.07,22.49,6.80,7.25
DANIEL SWAFFORD,9.23,,17.55,8.55,20.18,8.85,32.16,4.35
JASON GILLEN,7.64,5.92,,3.29,2.74,5.36,4.08,1.45
JILL BROADHURST,16.17,17.55,12.83,,34.41,16.36,18.69,2.90
LIBBY SCHAAF,18.10,34.45,14.53,38.28,,19.65,16.65,2.90
MELANIE SHELBY,25.04,11.41,16.23,12.77,11.25,,9.51,4.35
RALPH KANZ,5.10,6.26,9.43,8.61,5.53,4.26,,2.90
writeIns,0.44,0.55,0.94,0.33,0.30,0.32,0.57,
exhaust,18.28,17.76,17.36,20.64,18.52,22.70,11.55,73.91
