,CHERI SPIGNER,KARL DEBRO,NINA SENN,SALEEM SHAKIR-GILMORE
first_choice,8.13,32.98,38.36,20.54
CHERI SPIGNER,,12.21,15.44,13.01
KARL DEBRO,35.69,,45.33,45.48
NINA SENN,37.94,49.16,,41.51
SALEEM SHAKIR-GILMORE,26.37,38.63,39.23,
