,CAROL LEE TOLBERT,IGNACIO DE LA FUENTE,MICK STORM,REBECCA KAPLAN,THERESA ANDERSON,writeIns
first_choice,22606.00,42680.00,4567.00,65041.00,8805.00,821.00
CAROL LEE TOLBERT,,9004.00,1148.00,16671.00,2385.00,50.00
IGNACIO DE LA FUENTE,4332.00,,624.00,16864.00,772.00,50.00
MICK STORM,2277.00,2819.00,,3734.00,1128.00,19.00
REBECCA KAPLAN,6786.00,12982.00,931.00,,2671.00,87.00
THERESA ANDERSON,4290.00,3364.00,1050.00,6433.00,,19.00
writeIns,102.00,340.00,26.00,372.00,31.00,
exhaust,4819.00,14171.00,788.00,20967.00,1818.00,596.00
