,ASALE CHANDLER,GLORIA BERRY,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,UZURI PEASE-GREENE,writeIns
first_choice,802.00,966.00,9585.00,4820.00,5679.00,1311.00,31.00
ASALE CHANDLER,,217.00,278.00,165.00,221.00,92.00,1.00
GLORIA BERRY,218.00,,379.00,327.00,252.00,98.00,0.00
SHAMANN WALTON,113.00,159.00,,2191.00,1505.00,369.00,6.00
THEO ELLINGTON,92.00,132.00,3999.00,,846.00,176.00,5.00
TONY KELLY,132.00,174.00,1492.00,862.00,,371.00,8.00
UZURI PEASE-GREENE,102.00,74.00,693.00,370.00,1808.00,,3.00
writeIns,0.00,1.00,7.00,4.00,0.00,1.00,
exhaust,145.00,209.00,2737.00,901.00,1047.00,204.00,8.00
