,Charlie Walker,Dwayne Jusino,Espanola Jackson,Marie L. Harrison,Rodney Hampton Jr.,Sala Chandler,Sophie Maxwell
first_choice,481.00,1723.00,1483.00,1166.00,1196.00,276.00,7997.00
Charlie Walker,,44.00,93.00,53.00,69.00,15.00,300.00
Dwayne Jusino,31.00,,184.00,58.00,110.00,36.00,728.00
Espanola Jackson,67.00,315.00,,236.00,167.00,53.00,941.00
Marie L. Harrison,46.00,173.00,182.00,,277.00,47.00,1260.00
Rodney Hampton Jr.,68.00,195.00,197.00,184.00,,36.00,776.00
Sala Chandler,23.00,84.00,66.00,55.00,48.00,,207.00
Sophie Maxwell,92.00,401.00,356.00,297.00,269.00,44.00,
exhaust,154.00,511.00,405.00,283.00,256.00,45.00,3785.00
