,BRUCE QUAN,FRANCIS ''MATT'' HUMMEL,NANCY SIDEBOTHAM,PEGGY MOORE,REBECCA KAPLAN
first_choice,17.09,7.24,3.62,19.95,52.10
BRUCE QUAN,,22.26,28.50,32.34,41.16
FRANCIS ''MATT'' HUMMEL,14.23,,23.27,7.61,9.11
NANCY SIDEBOTHAM,10.30,16.17,,10.56,7.80
PEGGY MOORE,36.07,16.14,22.13,,41.93
REBECCA KAPLAN,39.40,45.43,26.11,49.50,
