,ALEJANDRO SOTO-VIGIL,LINDA MAIO,MERRILIE MITCHELL
first_choice,40.80,54.60,4.60
ALEJANDRO SOTO-VIGIL,,80.08,49.15
LINDA MAIO,72.59,,50.85
MERRILIE MITCHELL,27.41,19.92,
