,ALEJANDRO SOTO-VIGIL,LINDA MAIO,MERRILIE MITCHELL
first_choice,2270.00,3038.00,256.00
ALEJANDRO SOTO-VIGIL,,1479.00,87.00
LINDA MAIO,1152.00,,90.00
MERRILIE MITCHELL,435.00,368.00,
exhaust,683.00,1191.00,79.00
