,Brent Perry,Charley Underwood,Rick L. Nyhlen,Sandy Colvin Roy,writeIns
first_choice,2.76,14.05,18.65,64.33,0.21
Brent Perry,,15.77,10.77,10.77,33.33
Charley Underwood,35.04,,53.59,71.47,0.00
Rick L. Nyhlen,22.22,28.34,,16.86,33.33
Sandy Colvin Roy,41.88,55.89,33.08,,33.33
writeIns,0.85,0.00,2.56,0.89,
