,Don Samuels,Kenya McKnight,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,writeIns
first_choice,47.00,15.48,2.81,30.05,4.29,0.37
Don Samuels,,24.82,12.24,22.27,28.57,33.33
Kenya McKnight,35.66,,28.57,57.95,5.36,0.00
Lennie Chism,9.69,14.75,,14.09,16.07,0.00
Natalie Johnson Lee,43.80,57.55,46.94,,41.07,66.67
Roger Smithrud,9.30,2.52,12.24,5.68,,0.00
writeIns,1.55,0.36,0.00,0.00,8.93,
