,ALICE A. SPEARMAN,JAMES HARRIS,writeIns
first_choice,42.29,56.61,1.09
ALICE A. SPEARMAN,,49.21,7.14
JAMES HARRIS,51.79,,14.29
writeIns,1.81,1.92,
exhaust,46.40,48.87,78.57
