,CORINA N. LOPEZ,PAULINE RUSSO CUTTER,writeIns
first_choice,45.79,53.14,1.07
CORINA N. LOPEZ,,57.61,16.13
PAULINE RUSSO CUTTER,53.59,,11.98
writeIns,1.86,1.70,
exhaust,44.55,40.69,71.89
