,Carol Becker,David B. Wheeler,John Edwards,writeIns
first_choice,69.11,27.71,2.21,0.98
Carol Becker,,59.69,10.01,12.06
David B. Wheeler,63.61,,51.33,7.35
John Edwards,0.14,3.04,,1.18
writeIns,0.47,0.86,1.36,
exhaust,35.78,36.41,37.30,79.41
