,Janne Flisrand,Joe Kovacs,Lisa Goodman,Teqen Zéa-Aida,writeIns
first_choice,31.18,6.62,52.27,9.78,0.15
Janne Flisrand,,15.45,36.16,47.13,14.29
Joe Kovacs,3.63,,8.10,3.15,7.14
Lisa Goodman,35.11,35.88,,34.42,21.43
Teqen Zéa-Aida,42.55,6.64,14.86,,0.00
writeIns,0.25,2.66,0.32,0.56,
exhaust,18.45,39.37,40.56,14.74,57.14
