,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,LOU FILIPOVICH,SARA M. MESTAS,STEPHEN H. CASSIDY,writeIns
first_choice,35.50,1.73,23.15,0.04,4.11,35.17,0.28
ANTHONY B. ''TONY'' SANTOS,,20.66,37.45,0.00,25.20,27.08,38.46
JOHN R. PALAU,6.55,,4.84,66.67,18.90,10.72,15.38
JOYCE RUTLEDGE STAROSCIAK,45.84,16.72,,0.00,27.61,46.30,15.38
LOU FILIPOVICH,0.00,0.00,0.00,,0.13,0.10,0.00
SARA M. MESTAS,13.67,35.41,14.98,0.00,,14.79,7.69
STEPHEN H. CASSIDY,33.14,26.56,41.99,33.33,27.48,,23.08
writeIns,0.80,0.66,0.74,0.00,0.67,1.01,
