,DAVID LUCE,JON OLSON,writeIns
first_choice,31.90,67.23,0.88
DAVID LUCE,,40.34,9.43
JON OLSON,53.81,,22.64
writeIns,0.78,1.06,
exhaust,45.42,58.60,67.92
