,Dan Alvin,Kim Vlaisavljevich,Matthew Dowgwillo,Meg Tuthill,writeIns
first_choice,287.00,339.00,292.00,2405.00,6.00
Dan Alvin,,91.00,59.00,191.00,1.00
Kim Vlaisavljevich,76.00,,34.00,325.00,0.00
Matthew Dowgwillo,56.00,32.00,,660.00,0.00
Meg Tuthill,100.00,73.00,138.00,,0.00
writeIns,1.00,4.00,0.00,6.00,
exhaust,54.00,139.00,61.00,1223.00,5.00
