,CLINTON KILLIAN,DANIEL SWAFFORD,JASON GILLEN,JILL BROADHURST,LIBBY SCHAAF,MELANIE SHELBY,RALPH KANZ,writeIns
first_choice,5.42,11.18,2.52,22.90,41.71,11.73,4.21,0.33
CLINTON KILLIAN,,7.41,13.47,9.49,8.68,29.10,7.68,27.78
DANIEL SWAFFORD,11.29,,21.23,10.77,24.77,11.45,36.36,16.67
JASON GILLEN,9.35,7.20,,4.14,3.36,6.93,4.61,5.56
JILL BROADHURST,19.78,21.34,15.53,,42.23,21.17,21.13,11.11
LIBBY SCHAAF,22.15,41.90,17.58,48.23,,25.42,18.82,11.11
MELANIE SHELBY,30.65,13.88,19.63,16.09,13.81,,10.76,16.67
RALPH KANZ,6.24,7.61,11.42,10.85,6.78,5.51,,11.11
writeIns,0.54,0.67,1.14,0.42,0.36,0.42,0.64,
