,"Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.","St. Clair, Lucas R."
first_choice,5.51,46.42,8.83,39.24
"Fulford, Jonathan S.",,11.80,15.10,9.98
"Golden, Jared F.",46.13,,41.86,60.66
"Olson, Craig R.",28.61,27.44,,29.37
"St. Clair, Lucas R.",25.26,60.77,43.05,
