,David Regan,Elizabeth Glidden,Gregory McDonald,Jeanine Estime,Michael J. Cavlan,writeIns
first_choice,174.00,2291.00,115.00,470.00,43.00,3.00
David Regan,,36.00,21.00,8.00,3.00,0.00
Elizabeth Glidden,21.00,,31.00,290.00,13.00,0.00
Gregory McDonald,56.00,175.00,,42.00,1.00,0.00
Jeanine Estime,6.00,919.00,26.00,,16.00,0.00
Michael J. Cavlan,6.00,82.00,10.00,63.00,,0.00
writeIns,1.00,8.00,0.00,0.00,0.00,
exhaust,84.00,1071.00,27.00,67.00,10.00,3.00
