,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
first_choice,15.19,12.27,11.77,7.71,1.00,17.15,12.59,12.65,9.39,0.27
"Fantini, Alfred B.",,49.79,13.64,6.74,3.76,6.28,6.40,7.92,5.22,11.11
"Grassi, Joseph G.",52.50,,18.18,3.52,3.01,4.04,6.04,3.63,3.61,2.78
"Harding, Richard, Jr.",7.24,11.91,,4.49,6.77,11.02,7.54,7.98,4.09,2.78
"Lemily Wiggins, Gail",3.47,3.68,4.99,,17.29,6.06,6.34,8.45,23.11,2.78
"Malner, Stefan",1.14,0.86,1.41,7.32,,1.98,0.96,1.19,3.21,2.78
"McGovern, Marc C.",8.13,4.97,12.74,11.43,25.56,,31.82,22.44,20.14,8.33
"Nolan, Patricia M.",6.30,5.28,12.23,12.60,6.02,31.01,,20.89,13.40,5.56
"Schuster, Luc",2.93,2.03,7.23,11.91,6.77,16.78,18.00,,14.69,2.78
"Tauber, Nancy",2.73,3.44,5.63,29.00,13.53,10.19,11.42,13.87,,5.56
writeIns,0.05,0.06,0.06,0.20,0.75,0.13,0.00,0.06,0.00,
exhaust,15.52,17.99,23.88,12.79,16.54,12.52,11.48,13.57,12.52,55.56
