,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",writeIns
first_choice,40.52,43.73,12.29,3.16,0.30
Bob Fine,,68.46,45.08,36.68,36.36
Brad Bourn,48.88,,28.47,27.14,36.36
Jennifer Zielinski,36.27,22.76,,35.18,9.09
"Robert M Schlosser ""Bob""",13.86,7.16,25.45,,18.18
writeIns,0.99,1.61,1.01,1.01,
