,Andrew Johnson,Harrison Bullard,Will Jaeger,writeIns
first_choice,87.15,3.10,9.41,0.34
Andrew Johnson,,42.97,48.67,33.33
Harrison Bullard,44.52,,50.08,55.56
Will Jaeger,52.58,55.86,,11.11
writeIns,2.90,1.17,1.25,
