,ASHLEY H RHODES,CHRIS JACKSON,DEWITT M. LACY,DIANE WESLEY SMITH,ED DONALDSON,ELLSWORTH ''ELL'' JENNISON,ERIC SMITH,GEOFFREA MORRIS,JACKIE NORMAN,JAMES M. CALLOWAY,KRISTINE ENEA,LYNETTE SWEET,M.J. MARIE FRANKLIN,MALIA COHEN,MARLENE TRAN,NYESE JOSHUA,"RODNEY HAMPTON, JR.",STEPHEN WEBER,STEVE MOSS,TERESA DUQUE,TONY KELLY,writeIns
first_choice,260.00,1088.00,1274.00,399.00,202.00,68.00,448.00,333.00,186.00,417.00,544.00,2150.00,81.00,2097.00,2049.00,135.00,237.00,311.00,1969.00,1441.00,2102.00,17.00
ASHLEY H RHODES,,9.00,2.00,18.00,1.00,2.00,4.00,7.00,10.00,10.00,5.00,19.00,1.00,31.00,13.00,2.00,8.00,8.00,9.00,4.00,5.00,0.00
CHRIS JACKSON,9.00,,111.00,30.00,7.00,6.00,32.00,10.00,15.00,28.00,33.00,159.00,4.00,219.00,95.00,11.00,15.00,10.00,120.00,37.00,168.00,0.00
DEWITT M. LACY,5.00,107.00,,28.00,18.00,3.00,49.00,13.00,6.00,27.00,48.00,176.00,3.00,183.00,33.00,9.00,10.00,15.00,128.00,21.00,720.00,2.00
DIANE WESLEY SMITH,25.00,22.00,18.00,,4.00,1.00,8.00,15.00,13.00,25.00,8.00,82.00,0.00,93.00,15.00,12.00,9.00,15.00,19.00,5.00,12.00,0.00
ED DONALDSON,1.00,22.00,17.00,2.00,,0.00,8.00,10.00,1.00,8.00,8.00,52.00,0.00,18.00,9.00,3.00,13.00,6.00,20.00,2.00,13.00,0.00
ELLSWORTH ''ELL'' JENNISON,3.00,3.00,2.00,7.00,1.00,,0.00,1.00,1.00,6.00,4.00,4.00,4.00,12.00,7.00,4.00,5.00,8.00,15.00,5.00,7.00,0.00
ERIC SMITH,3.00,33.00,67.00,6.00,3.00,3.00,,2.00,5.00,6.00,34.00,46.00,2.00,140.00,10.00,0.00,6.00,4.00,85.00,11.00,80.00,0.00
GEOFFREA MORRIS,1.00,12.00,24.00,1.00,3.00,0.00,10.00,,5.00,13.00,10.00,35.00,3.00,49.00,18.00,7.00,16.00,0.00,19.00,10.00,12.00,0.00
JACKIE NORMAN,10.00,12.00,10.00,16.00,6.00,2.00,3.00,11.00,,11.00,7.00,43.00,2.00,28.00,7.00,0.00,6.00,3.00,10.00,3.00,6.00,0.00
JAMES M. CALLOWAY,21.00,29.00,17.00,28.00,5.00,4.00,8.00,12.00,3.00,,12.00,68.00,8.00,47.00,59.00,3.00,10.00,10.00,33.00,12.00,17.00,1.00
KRISTINE ENEA,13.00,24.00,42.00,13.00,5.00,4.00,14.00,7.00,4.00,13.00,,50.00,3.00,53.00,36.00,3.00,5.00,21.00,114.00,16.00,85.00,0.00
LYNETTE SWEET,14.00,90.00,99.00,60.00,37.00,3.00,12.00,36.00,19.00,31.00,41.00,,6.00,308.00,49.00,7.00,20.00,12.00,196.00,24.00,104.00,3.00
M.J. MARIE FRANKLIN,1.00,2.00,10.00,4.00,2.00,4.00,3.00,4.00,1.00,10.00,4.00,10.00,,4.00,12.00,2.00,4.00,2.00,14.00,22.00,7.00,0.00
MALIA COHEN,37.00,113.00,388.00,34.00,21.00,2.00,80.00,47.00,20.00,30.00,36.00,320.00,5.00,,60.00,6.00,14.00,25.00,158.00,48.00,92.00,1.00
MARLENE TRAN,22.00,72.00,23.00,10.00,2.00,3.00,7.00,6.00,1.00,21.00,24.00,42.00,7.00,58.00,,9.00,6.00,10.00,67.00,697.00,39.00,0.00
NYESE JOSHUA,4.00,3.00,9.00,6.00,0.00,6.00,1.00,5.00,5.00,10.00,5.00,10.00,6.00,15.00,9.00,,9.00,3.00,13.00,15.00,34.00,0.00
"RODNEY HAMPTON, JR.",8.00,14.00,15.00,4.00,17.00,2.00,3.00,16.00,9.00,15.00,7.00,51.00,4.00,30.00,7.00,8.00,,8.00,23.00,13.00,10.00,0.00
STEPHEN WEBER,12.00,13.00,7.00,5.00,5.00,4.00,6.00,1.00,3.00,12.00,25.00,31.00,1.00,19.00,19.00,2.00,9.00,,48.00,9.00,22.00,0.00
STEVE MOSS,4.00,74.00,95.00,15.00,11.00,2.00,45.00,10.00,7.00,20.00,68.00,176.00,6.00,122.00,65.00,2.00,6.00,32.00,,60.00,329.00,0.00
TERESA DUQUE,1.00,24.00,7.00,5.00,5.00,2.00,3.00,8.00,2.00,10.00,14.00,21.00,4.00,32.00,903.00,5.00,5.00,8.00,55.00,,11.00,0.00
TONY KELLY,8.00,193.00,99.00,7.00,2.00,6.00,92.00,5.00,3.00,16.00,66.00,80.00,3.00,89.00,100.00,17.00,4.00,22.00,362.00,12.00,,0.00
writeIns,0.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00,5.00,
exhaust,58.00,215.00,211.00,99.00,47.00,9.00,60.00,106.00,53.00,95.00,84.00,671.00,9.00,545.00,522.00,23.00,57.00,89.00,460.00,414.00,324.00,10.00
