,ANDREW BLEY,F. X. FRANCIS XAVIER CROWLEY,GLENN ROGERS,JOEL ENGARDIO,JULIAN P. LAGOS,LYNN GAVIN,MICHAEL GARCIA,NORMAN YEE,ROBERT J. SQUERI
first_choice,2.63,24.68,1.90,13.28,3.48,2.29,17.56,29.26,4.92
ANDREW BLEY,,2.48,19.01,5.23,7.89,11.82,3.25,4.47,5.52
F. X. FRANCIS XAVIER CROWLEY,16.67,,11.60,24.69,9.73,9.42,30.82,40.73,27.76
GLENN ROGERS,13.52,2.35,,3.48,11.27,19.33,2.63,3.04,6.38
JOEL ENGARDIO,12.98,10.61,7.60,,10.55,9.42,21.68,10.66,15.09
JULIAN P. LAGOS,8.88,4.21,15.40,4.03,,17.89,5.19,12.00,5.60
LYNN GAVIN,11.75,3.15,15.97,3.16,14.04,,2.47,5.94,3.58
MICHAEL GARCIA,12.57,26.68,8.37,27.67,11.58,11.98,,15.56,22.71
NORMAN YEE,16.94,39.87,13.12,23.40,29.41,16.29,16.03,,13.37
ROBERT J. SQUERI,6.69,10.64,8.94,8.36,5.53,3.83,17.93,7.60,
