,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
first_choice,22.99,7.85,38.77,25.20,5.20
BRIAN V. HULET,,14.63,49.29,36.28,28.68
CARY KENNETH STOCKWELL,8.17,,13.52,16.43,23.26
DOUG WELTON,50.80,38.05,,41.40,31.78
LINDA CARTER,31.79,22.93,28.76,,16.28
SCOTT PINKHAM,9.24,24.39,8.43,5.89,
