,GORDON WOZNIAK,JACQUELYN McCORMICK,STEWART JONES,writeIns
first_choice,60.99,19.15,19.32,0.54
GORDON WOZNIAK,,38.87,42.13,70.00
JACQUELYN McCORMICK,45.54,,56.83,20.00
STEWART JONES,53.56,60.61,,10.00
writeIns,0.90,0.53,1.04,
