,Blong Yang,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams,writeIns
first_choice,38.35,3.77,47.13,10.56,0.19
Blong Yang,,33.33,37.55,24.09,0.00
Cathy Spann,21.36,,13.03,14.29,0.00
Jeremiah Ellison,57.87,41.09,,61.62,100.00
Raeisha (RA) Williams,19.96,24.81,49.04,,0.00
writeIns,0.80,0.78,0.38,0.00,
