,IGOR A. TREGUB,MARGO SCHUELER,MARY BEHM-STEINBERG,RASHI KESARWANI
first_choice,2811.00,1216.00,345.00,3500.00
IGOR A. TREGUB,,435.00,95.00,1550.00
MARGO SCHUELER,830.00,,131.00,1123.00
MARY BEHM-STEINBERG,459.00,134.00,,199.00
RASHI KESARWANI,1067.00,469.00,45.00,
exhaust,455.00,178.00,74.00,628.00
