,FRED DODSWORTH,ISABELLE GASTON,SUSAN WENGRAF
first_choice,29.15,12.45,58.40
FRED DODSWORTH,,39.18,32.45
ISABELLE GASTON,39.26,,21.29
SUSAN WENGRAF,37.01,38.11,
exhaust,23.72,22.71,46.26
