,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca,writeIns
first_choice,42.90,4.18,40.66,12.05,0.21
"Barbara A. ""Barb"" Johnson",,15.91,24.67,17.98,9.09
Dana Hansen,6.11,,4.91,8.52,9.09
Phillipe M. Cunningham,29.67,18.18,,56.78,27.27
Stephanie Gasca,21.21,20.45,50.19,,0.00
writeIns,0.66,2.73,0.51,0.32,
exhaust,42.34,42.73,19.72,16.40,54.55
