,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER,writeIns
first_choice,1802.00,12433.00,5872.00,14813.00,30.00
BILL HEMENGER,,359.00,335.00,1294.00,0.00
RAFAEL MANDELMAN,215.00,,1881.00,2916.00,1.00
REBECCA PROZAN,345.00,5220.00,,6800.00,1.00
SCOTT WIENER,604.00,2756.00,2484.00,,2.00
writeIns,6.00,35.00,3.00,12.00,
exhaust,632.00,4063.00,1169.00,3791.00,26.00
