,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM,writeIns
first_choice,64.15,21.43,13.76,0.66
DESLEY BROOKS,,28.59,29.99,15.29
JOSE DORADO,25.42,,48.17,11.76
NANCY SIDEBOTHAM,39.17,48.10,,14.12
writeIns,1.10,1.16,0.96,
exhaust,34.32,22.15,20.88,58.82
