,Arron Peskin,Brian Murphy 0'flynn,Eugene Chi-ching Wong,Sal Busalacchi
first_choice,16177.00,4604.00,3569.00,1555.00
Arron Peskin,,1224.00,1346.00,308.00
Brian Murphy 0'flynn,5011.00,,974.00,808.00
Eugene Chi-ching Wong,3685.00,1207.00,,252.00
Sal Busalacchi,1870.00,1609.00,449.00,
exhaust,5611.00,564.00,800.00,187.00
